candidate_file	file_type	size_bytes	modified_time	probable_figure	probable_panel	source_script	source_data	status	confidence	notes
figures/Fig4.pdf	pdf	36550	2026-09-10 20:39	Fig4	all (panels per FINAL legend)	temp/f21_scripts/fig4.py	frozen: C2_ss2_state_tests_unified, C2_couturier_layerA_state_tests_all, C2_11_EVIDENCE_GRADES, C3_C5_EXPLORATORY, C2_LAYERB_CNV_QC, C2_LAYERB_STATE_TESTS, C4_NEGATIVE_RESULTS	RECOVERED_FROM_FROZEN_TABLES	high	reproduced main figure
figures/Fig4.png	png	738545	2026-09-10 21:47	Fig4	all (panels per FINAL legend)	temp/f21_scripts/fig4.py	frozen: C2_ss2_state_tests_unified, C2_couturier_layerA_state_tests_all, C2_11_EVIDENCE_GRADES, C3_C5_EXPLORATORY, C2_LAYERB_CNV_QC, C2_LAYERB_STATE_TESTS, C4_NEGATIVE_RESULTS	RECOVERED_FROM_FROZEN_TABLES	high	reproduced main figure
figures/Fig4.tif	tif	1516184	2026-09-10 21:47	Fig4	all (panels per FINAL legend)	temp/f21_scripts/fig4.py	frozen: C2_ss2_state_tests_unified, C2_couturier_layerA_state_tests_all, C2_11_EVIDENCE_GRADES, C3_C5_EXPLORATORY, C2_LAYERB_CNV_QC, C2_LAYERB_STATE_TESTS, C4_NEGATIVE_RESULTS	RECOVERED_FROM_FROZEN_TABLES	high	reproduced main figure
figures/Fig5.pdf	pdf	38492	2026-09-10 20:39	Fig5	all (panels per FINAL legend)	temp/f21_scripts/fig5.py	frozen: ss2_lopo, C2_couturier_layerA_lopo, ss2_cellnull_ALL, ss2_pseudobulk_null, C2_3_CC_DEPLETION_SUMMARY, C2_11_EVIDENCE_GRADES	RECOVERED_FROM_FROZEN_TABLES	high	reproduced main figure
figures/Fig5.png	png	835709	2026-09-10 21:47	Fig5	all (panels per FINAL legend)	temp/f21_scripts/fig5.py	frozen: ss2_lopo, C2_couturier_layerA_lopo, ss2_cellnull_ALL, ss2_pseudobulk_null, C2_3_CC_DEPLETION_SUMMARY, C2_11_EVIDENCE_GRADES	RECOVERED_FROM_FROZEN_TABLES	high	reproduced main figure
figures/Fig5.tif	tif	1512278	2026-09-10 21:47	Fig5	all (panels per FINAL legend)	temp/f21_scripts/fig5.py	frozen: ss2_lopo, C2_couturier_layerA_lopo, ss2_cellnull_ALL, ss2_pseudobulk_null, C2_3_CC_DEPLETION_SUMMARY, C2_11_EVIDENCE_GRADES	RECOVERED_FROM_FROZEN_TABLES	high	reproduced main figure
figures/Fig6.pdf	pdf	48378	2026-09-10 22:32	Fig6	all (panels per FINAL legend)	temp/f21_scripts/fig6_adonly.py	frozen: C3_PRIMARY_RESULTS, C3_ROBUSTNESS, C3_SECONDARY_RESULTS, _q2_for_output	RECOVERED_FROM_FROZEN_TABLES	high	reproduced main figure; layout trimmed to the FINAL legend (A-D); the surplus panel E is excluded, see FIGURE_RECONSTRUCTION_MAP
figures/Fig6.png	png	634133	2026-09-10 22:32	Fig6	all (panels per FINAL legend)	temp/f21_scripts/fig6_adonly.py	frozen: C3_PRIMARY_RESULTS, C3_ROBUSTNESS, C3_SECONDARY_RESULTS, _q2_for_output	RECOVERED_FROM_FROZEN_TABLES	high	reproduced main figure; layout trimmed to the FINAL legend (A-D); the surplus panel E is excluded, see FIGURE_RECONSTRUCTION_MAP
figures/Fig6.tif	tif	1205980	2026-09-10 22:32	Fig6	all (panels per FINAL legend)	temp/f21_scripts/fig6_adonly.py	frozen: C3_PRIMARY_RESULTS, C3_ROBUSTNESS, C3_SECONDARY_RESULTS, _q2_for_output	RECOVERED_FROM_FROZEN_TABLES	high	reproduced main figure; layout trimmed to the FINAL legend (A-D); the surplus panel E is excluded, see FIGURE_RECONSTRUCTION_MAP
figures/supplementary/FigS1.pdf	pdf	23843	2026-09-10 20:39	FigS1	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS1.png	png	244275	2026-09-10 21:47	FigS1	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS1.tif	tif	498290	2026-09-10 21:47	FigS1	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS2.pdf	pdf	21805	2026-09-10 20:39	FigS2	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS2.png	png	175126	2026-09-10 21:47	FigS2	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS2.tif	tif	390520	2026-09-10 21:47	FigS2	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS3.pdf	pdf	23200	2026-09-10 20:39	FigS3	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS3.png	png	174682	2026-09-10 21:47	FigS3	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS3.tif	tif	380188	2026-09-10 21:47	FigS3	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS4.pdf	pdf	21519	2026-09-10 20:39	FigS4	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS4.png	png	140665	2026-09-10 21:47	FigS4	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS4.tif	tif	294920	2026-09-10 21:47	FigS4	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS5.pdf	pdf	27354	2026-09-10 20:39	FigS5	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS5.png	png	389283	2026-09-10 21:47	FigS5	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS5.tif	tif	594668	2026-09-10 21:47	FigS5	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS6.pdf	pdf	22618	2026-09-10 20:39	FigS6	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS6.png	png	165446	2026-09-10 21:47	FigS6	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS6.tif	tif	348712	2026-09-10 21:47	FigS6	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS7.pdf	pdf	26678	2026-09-10 20:39	FigS7	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS7.png	png	249440	2026-09-10 21:47	FigS7	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS7.tif	tif	642060	2026-09-10 21:47	FigS7	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS8.pdf	pdf	22555	2026-09-10 20:39	FigS8	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS8.png	png	141400	2026-09-10 21:47	FigS8	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS8.tif	tif	293050	2026-09-10 21:47	FigS8	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS9.pdf	pdf	30167	2026-09-10 20:39	FigS9	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS9.png	png	341298	2026-09-10 21:47	FigS9	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
figures/supplementary/FigS9.tif	tif	593224	2026-09-10 21:47	FigS9	all (panels per FINAL legend)	temp/f21_scripts/figS.py	frozen: C2_4_QC_*, ss2_*, C2_couturier_layerA_*, C2_LAYERB_*, C2_3_CC_DEPLETION_SUMMARY, C3_PRIMARY_RESULTS, C3_ROBUSTNESS, c2_11_test_A_ccdep	RECOVERED_FROM_FROZEN_TABLES	high	Supplementary figure reproduced from frozen tables (S10 is a table, not a figure)
temp/f21_scripts/fig_common.py	py	15317	2026-09-10 21:29	all figures	all	-	reads frozen tables only (no statistics)	PLOTTING_SCRIPT_recovery	high	recovery artefact-reproduction script; plotting only, no re-analysis
temp/f21_scripts/fig1.py	py	7197	2026-09-10 20:24	Fig1	all	-	reads frozen tables only (no statistics)	PLOTTING_SCRIPT_recovery	high	recovery artefact-reproduction script; plotting only, no re-analysis
temp/f21_scripts/fig2.py	py	7680	2026-09-10 20:51	Fig2	all	-	reads frozen tables only (no statistics)	PLOTTING_SCRIPT_recovery	high	recovery artefact-reproduction script; plotting only, no re-analysis
temp/f21_scripts/fig3.py	py	4612	2026-09-10 19:05	Fig3	all	-	reads frozen tables only (no statistics)	PLOTTING_SCRIPT_recovery	high	recovery artefact-reproduction script; plotting only, no re-analysis
temp/f21_scripts/fig4.py	py	9750	2026-09-10 20:52	Fig4	all	-	reads frozen tables only (no statistics)	PLOTTING_SCRIPT_recovery	high	recovery artefact-reproduction script; plotting only, no re-analysis
temp/f21_scripts/fig5.py	py	6724	2026-09-10 20:54	Fig5	all	-	reads frozen tables only (no statistics)	PLOTTING_SCRIPT_recovery	high	recovery artefact-reproduction script; plotting only, no re-analysis
temp/f21_scripts/fig6.py	py	8235	2026-09-10 21:47	Fig6	all	-	reads frozen tables only (no statistics)	PLOTTING_SCRIPT_recovery	high	recovery artefact-reproduction script; plotting only, no re-analysis
temp/f21_scripts/figS.py	py	23148	2026-09-10 21:42	FigS	all	-	reads frozen tables only (no statistics)	PLOTTING_SCRIPT_recovery	high	recovery artefact-reproduction script; plotting only, no re-analysis
temp/f21_scripts/scan_assets.py	py	3027	2026-09-10 13:55	all figures	all	-	reads frozen tables only (no statistics)	SCAN_UTILITY	high	recovery artefact-reproduction script; plotting only, no re-analysis
temp/c3_data/c3_figures.py	py	11891	2026-09-09 04:24	Fig6 (legacy)	A,B,C,D(+E)	-	C3 frozen tables	LEGACY_PLOTTING_SCRIPT	medium	legacy Fig6 candidate generator retained in temp; kept for provenance only
temp/C1_QC_PCA.png	png	21908	2026-09-08 09:03	n/a (exploratory QC)	-	legacy stage script (not retained)	C1/C2 intermediates	LEGACY_EXPLORATORY_NOT_IN_FINAL	low	exploratory QC image from an earlier stage; not part of the FINAL figure set
temp/C1_QC_correlation.png	png	79395	2026-09-08 09:03	n/a (exploratory QC)	-	legacy stage script (not retained)	C1/C2 intermediates	LEGACY_EXPLORATORY_NOT_IN_FINAL	low	exploratory QC image from an earlier stage; not part of the FINAL figure set
temp/C1_QC_dendro.png	png	44414	2026-09-08 09:03	n/a (exploratory QC)	-	legacy stage script (not retained)	C1/C2 intermediates	LEGACY_EXPLORATORY_NOT_IN_FINAL	low	exploratory QC image from an earlier stage; not part of the FINAL figure set
temp/_clip_test.png	png	21509	2026-09-10 16:45	n/a (exploratory QC)	-	legacy stage script (not retained)	C1/C2 intermediates	LEGACY_EXPLORATORY_NOT_IN_FINAL	low	exploratory QC image from an earlier stage; not part of the FINAL figure set
temp/f21_crops/Fig4_bottom.png	png	292464	2026-09-10 17:15	n/a (exploratory QC)	-	legacy stage script (not retained)	C1/C2 intermediates	LEGACY_EXPLORATORY_NOT_IN_FINAL	low	exploratory QC image from an earlier stage; not part of the FINAL figure set
temp/f21_crops/Fig4_mid.png	png	273130	2026-09-10 17:15	n/a (exploratory QC)	-	legacy stage script (not retained)	C1/C2 intermediates	LEGACY_EXPLORATORY_NOT_IN_FINAL	low	exploratory QC image from an earlier stage; not part of the FINAL figure set
temp/f21_superseded/Fig2_ABCD_v1.pdf	pdf	42902	2026-09-10 20:39	n/a (exploratory QC)	-	legacy stage script (not retained)	C1/C2 intermediates	LEGACY_EXPLORATORY_NOT_IN_FINAL	low	exploratory QC image from an earlier stage; not part of the FINAL figure set
temp/f21_superseded/Fig2_ABCD_v1.png	png	424029	2026-09-10 21:47	n/a (exploratory QC)	-	legacy stage script (not retained)	C1/C2 intermediates	LEGACY_EXPLORATORY_NOT_IN_FINAL	low	exploratory QC image from an earlier stage; not part of the FINAL figure set
temp/f21_superseded/Fig2_ABCD_v1.tif	tif	742640	2026-09-10 21:47	n/a (exploratory QC)	-	legacy stage script (not retained)	C1/C2 intermediates	LEGACY_EXPLORATORY_NOT_IN_FINAL	low	exploratory QC image from an earlier stage; not part of the FINAL figure set
temp/f21_superseded/Fig6_ABCE_v1.pdf	pdf	48859	2026-09-10 20:39	n/a (exploratory QC)	-	legacy stage script (not retained)	C1/C2 intermediates	LEGACY_EXPLORATORY_NOT_IN_FINAL	low	exploratory QC image from an earlier stage; not part of the FINAL figure set
temp/f21_superseded/Fig6_ABCE_v1.png	png	675615	2026-09-10 21:56	n/a (exploratory QC)	-	legacy stage script (not retained)	C1/C2 intermediates	LEGACY_EXPLORATORY_NOT_IN_FINAL	low	exploratory QC image from an earlier stage; not part of the FINAL figure set
temp/f21_superseded/Fig6_ABCE_v1.tif	tif	1190756	2026-09-10 21:56	n/a (exploratory QC)	-	legacy stage script (not retained)	C1/C2 intermediates	LEGACY_EXPLORATORY_NOT_IN_FINAL	low	exploratory QC image from an earlier stage; not part of the FINAL figure set
temp/f21_superseded/legacy_fig6_candidates/Fig6_panelAB_CANDIDATE.tif	tif	582442	2026-09-10 11:57	n/a (exploratory QC)	-	legacy stage script (not retained)	C1/C2 intermediates	LEGACY_EXPLORATORY_NOT_IN_FINAL	low	exploratory QC image from an earlier stage; not part of the FINAL figure set
