figure	panel	source_frozen_table	plotting_script	output_file	scientific_recalculation	QC_status
Fig5	C	C2_11_EVIDENCE_GRADES.tsv; C2_3_CC_DEPLETION_SUMMARY.tsv; C2_couturier_layerA_lopo.tsv; ss2_cellnull_ALL.tsv; ss2_lopo.tsv; ss2_pseudobulk_null.tsv	fig5.py	figures/Fig5.tif; figures/Fig5.png; figures/Fig5.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; technical QC PASS; values identical to frozen tables)
Fig5	D	C2_11_EVIDENCE_GRADES.tsv; C2_3_CC_DEPLETION_SUMMARY.tsv; C2_couturier_layerA_lopo.tsv; ss2_cellnull_ALL.tsv; ss2_lopo.tsv; ss2_pseudobulk_null.tsv	fig5.py	figures/Fig5.tif; figures/Fig5.png; figures/Fig5.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; technical QC PASS; values identical to frozen tables)
Fig6	A	C3_PRIMARY_RESULTS.tsv; C3_ROBUSTNESS.tsv; C3_SECONDARY_RESULTS.tsv; Fig6_values.tsv; _q2_for_output.tsv	fig6_adonly.py (panel render) + fig6_2x2.py (2x2 re-composition)	figures/Fig6.tif; figures/Fig6.png; figures/Fig6.pdf	NO	PASS (2x2 layout re-composition A-D; axes payload identical to panel render; 400 dpi RGB TIFF + vector PDF)
Fig6	B	C3_PRIMARY_RESULTS.tsv; C3_ROBUSTNESS.tsv; C3_SECONDARY_RESULTS.tsv; Fig6_values.tsv; _q2_for_output.tsv	fig6_adonly.py (panel render) + fig6_2x2.py (2x2 re-composition)	figures/Fig6.tif; figures/Fig6.png; figures/Fig6.pdf	NO	PASS (2x2 layout re-composition A-D; axes payload identical to panel render; 400 dpi RGB TIFF + vector PDF)
Fig6	C	C3_PRIMARY_RESULTS.tsv; C3_ROBUSTNESS.tsv; C3_SECONDARY_RESULTS.tsv; Fig6_values.tsv; _q2_for_output.tsv	fig6_adonly.py (panel render) + fig6_2x2.py (2x2 re-composition)	figures/Fig6.tif; figures/Fig6.png; figures/Fig6.pdf	NO	PASS (2x2 layout re-composition A-D; axes payload identical to panel render; 400 dpi RGB TIFF + vector PDF)
Fig6	D	C3_PRIMARY_RESULTS.tsv; C3_ROBUSTNESS.tsv; C3_SECONDARY_RESULTS.tsv; Fig6_values.tsv; _q2_for_output.tsv	fig6_adonly.py (panel render) + fig6_2x2.py (2x2 re-composition)	figures/Fig6.tif; figures/Fig6.png; figures/Fig6.pdf	NO	PASS (2x2 layout re-composition A-D; axes payload identical to panel render; 400 dpi RGB TIFF + vector PDF)
FigS1	A	C2_4_COUTURIER_SAMPLE_ROLES.tsv; C2_4_QC_NEFTEL_10X.tsv; C2_4_QC_NEFTEL_SS2.tsv	figS.py	figures/supplementary/FigS1.tif; figures/supplementary/FigS1.png; figures/supplementary/FigS1.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; render QA verified; values identical to frozen tables)
FigS1	B	C2_4_COUTURIER_SAMPLE_ROLES.tsv; C2_4_QC_NEFTEL_10X.tsv; C2_4_QC_NEFTEL_SS2.tsv	figS.py	figures/supplementary/FigS1.tif; figures/supplementary/FigS1.png; figures/supplementary/FigS1.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; render QA verified; values identical to frozen tables)
FigS1	C	C2_4_COUTURIER_SAMPLE_ROLES.tsv; C2_4_QC_NEFTEL_10X.tsv; C2_4_QC_NEFTEL_SS2.tsv	figS.py	figures/supplementary/FigS1.tif; figures/supplementary/FigS1.png; figures/supplementary/FigS1.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; render QA verified; values identical to frozen tables)
FigS2	A	C2_couturier_layerA_state_tests_all.tsv; C2_ss2_state_tests_unified.tsv	figS.py	figures/supplementary/FigS2.tif; figures/supplementary/FigS2.png; figures/supplementary/FigS2.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; render QA verified; values identical to frozen tables)
FigS2	B	C2_couturier_layerA_state_tests_all.tsv; C2_ss2_state_tests_unified.tsv	figS.py	figures/supplementary/FigS2.tif; figures/supplementary/FigS2.png; figures/supplementary/FigS2.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; render QA verified; values identical to frozen tables)
FigS3	A	C2_3_CC_DEPLETION_SUMMARY.tsv; C2_couturier_layerA_alt_state_tests.tsv; C2_couturier_layerA_state_tests_all.tsv; C2_ss2_state_tests_unified.tsv; c2_11_test_A_ccdep.tsv; ss2_state_tests.tsv	figS.py	figures/supplementary/FigS3.tif; figures/supplementary/FigS3.png; figures/supplementary/FigS3.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; render QA verified; values identical to frozen tables)
FigS3	B	C2_3_CC_DEPLETION_SUMMARY.tsv; C2_couturier_layerA_alt_state_tests.tsv; C2_couturier_layerA_state_tests_all.tsv; C2_ss2_state_tests_unified.tsv; c2_11_test_A_ccdep.tsv; ss2_state_tests.tsv	figS.py	figures/supplementary/FigS3.tif; figures/supplementary/FigS3.png; figures/supplementary/FigS3.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; render QA verified; values identical to frozen tables)
FigS3	C	C2_3_CC_DEPLETION_SUMMARY.tsv; C2_couturier_layerA_alt_state_tests.tsv; C2_couturier_layerA_state_tests_all.tsv; C2_ss2_state_tests_unified.tsv; c2_11_test_A_ccdep.tsv; ss2_state_tests.tsv	figS.py	figures/supplementary/FigS3.tif; figures/supplementary/FigS3.png; figures/supplementary/FigS3.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; render QA verified; values identical to frozen tables)
FigS4	A	ss2_lopo.tsv	figS.py	figures/supplementary/FigS4.tif; figures/supplementary/FigS4.png; figures/supplementary/FigS4.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; render QA verified; values identical to frozen tables)
FigS4	B	ss2_lopo.tsv	figS.py	figures/supplementary/FigS4.tif; figures/supplementary/FigS4.png; figures/supplementary/FigS4.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; render QA verified; values identical to frozen tables)
FigS4	C	ss2_lopo.tsv	figS.py	figures/supplementary/FigS4.tif; figures/supplementary/FigS4.png; figures/supplementary/FigS4.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; render QA verified; values identical to frozen tables)
FigS5	A	ss2_lopo.tsv	figS.py	figures/supplementary/FigS5.tif; figures/supplementary/FigS5.png; figures/supplementary/FigS5.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; render QA verified; values identical to frozen tables)
FigS6	A	C2_LAYERB_CNV_QC.tsv; C2_LAYERB_STATE_TESTS.tsv; C2_couturier_layerA_alt_state_tests.tsv; C2_couturier_layerA_state_tests_all.tsv	figS.py	figures/supplementary/FigS6.tif; figures/supplementary/FigS6.png; figures/supplementary/FigS6.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; render QA verified; values identical to frozen tables)
FigS6	B	C2_LAYERB_CNV_QC.tsv; C2_LAYERB_STATE_TESTS.tsv; C2_couturier_layerA_alt_state_tests.tsv; C2_couturier_layerA_state_tests_all.tsv	figS.py	figures/supplementary/FigS6.tif; figures/supplementary/FigS6.png; figures/supplementary/FigS6.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; render QA verified; values identical to frozen tables)
FigS7	A	C2_LAYERB_STATE_TESTS.tsv; ss2_cellnull_ALL.tsv; ss2_pseudobulk_null.tsv	figS.py	figures/supplementary/FigS7.tif; figures/supplementary/FigS7.png; figures/supplementary/FigS7.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; render QA verified; values identical to frozen tables)
FigS7	B	C2_LAYERB_STATE_TESTS.tsv; ss2_cellnull_ALL.tsv; ss2_pseudobulk_null.tsv	figS.py	figures/supplementary/FigS7.tif; figures/supplementary/FigS7.png; figures/supplementary/FigS7.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; render QA verified; values identical to frozen tables)
FigS7	C	C2_LAYERB_STATE_TESTS.tsv; ss2_cellnull_ALL.tsv; ss2_pseudobulk_null.tsv	figS.py	figures/supplementary/FigS7.tif; figures/supplementary/FigS7.png; figures/supplementary/FigS7.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; render QA verified; values identical to frozen tables)
FigS8	A	C2_3_CC_DEPLETION_SUMMARY.tsv; ss2_cellnull_ALL.tsv	figS.py	figures/supplementary/FigS8.tif; figures/supplementary/FigS8.png; figures/supplementary/FigS8.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; render QA verified; values identical to frozen tables)
FigS8	B	C2_3_CC_DEPLETION_SUMMARY.tsv; ss2_cellnull_ALL.tsv	figS.py	figures/supplementary/FigS8.tif; figures/supplementary/FigS8.png; figures/supplementary/FigS8.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; render QA verified; values identical to frozen tables)
FigS8	C	C2_3_CC_DEPLETION_SUMMARY.tsv; ss2_cellnull_ALL.tsv	figS.py	figures/supplementary/FigS8.tif; figures/supplementary/FigS8.png; figures/supplementary/FigS8.pdf	NO	PASS (400 dpi RGB TIFF + vector PDF; render QA verified; values identical to frozen tables)
FigS9	A	C3_PRIMARY_RESULTS.tsv; C3_ROBUSTNESS.tsv; ss2_lopo.tsv	figS.py (panel build) + figS9_render.py (released render)	figures/supplementary/FigS9.tif; figures/supplementary/FigS9.png; figures/supplementary/FigS9.pdf	NO	PASS (render-only re-export; plotted values identical; 400 dpi RGB TIFF + vector PDF)
FigS9	B	C3_PRIMARY_RESULTS.tsv; C3_ROBUSTNESS.tsv; ss2_lopo.tsv	figS.py (panel build) + figS9_render.py (released render)	figures/supplementary/FigS9.tif; figures/supplementary/FigS9.png; figures/supplementary/FigS9.pdf	NO	PASS (render-only re-export; plotted values identical; 400 dpi RGB TIFF + vector PDF)
FigS9	C	C3_PRIMARY_RESULTS.tsv; C3_ROBUSTNESS.tsv; ss2_lopo.tsv	figS.py (panel build) + figS9_render.py (released render)	figures/supplementary/FigS9.tif; figures/supplementary/FigS9.png; figures/supplementary/FigS9.pdf	NO	PASS (render-only re-export; plotted values identical; 400 dpi RGB TIFF + vector PDF)
